what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1365768571939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768573467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768576041
started,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1365768583122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768591591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768592981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768603237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768683670
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365768685327
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1365768686018
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1365768691351
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365768691468
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1365768691731
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1365768692068
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1365768692071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768697844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768709544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1365768717442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768717969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365768722391
opened,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1365768722654
